name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Diep, Tarah",96C0195I,2019-07-05 00:32:25,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,Reflective discussion,TRUE,TRUE
"Abeyta, Karen",17W0117S,2019-05-23 17:01:04,FALSE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,CPD,FALSE,TRUE
"Lemmons, Sheridan",76E1481D,2019-08-21 16:40:38,FALSE,Nurse inside the UK,Partial lapse,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Knodel-Eldridge, Rebecca",84V4630O,2019-04-25 23:12:35,FALSE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Written reflective accounts,FALSE,TRUE
"Bolyard, Jeffrey",49Q8501C,2019-07-01 06:28:18,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,CPD,TRUE,FALSE
"al-Yamin, Saajid",60T1485R,2019-01-17 14:28:14,FALSE,Midwife outside the UK,Yes,Ill health,Nurse,CPD,FALSE,FALSE
"Snider, Jeremy",36P3548T,2019-08-21 23:20:31,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Written reflective accounts,TRUE,FALSE
"Haring, Chandra",82O4667G,2019-02-25 09:03:10,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"Roubideaux, Christopher",95Z0711L,2019-08-25 02:10:10,FALSE,Nurse outside the UK,Yes,Ill health,Nurse,Practice-related feedback,TRUE,TRUE
"Arguello, Christopher",44M7882J,2019-04-02 22:11:30,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Foust, Michael",25R0817C,2019-02-09 20:49:08,TRUE,Nurse outside the UK,No,Ill health,Nurse,Reflective discussion,TRUE,FALSE
"Sorrell, Jacob",19Y4810I,2019-03-06 01:51:52,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Practice hours,TRUE,FALSE
"Vigil, Samantha",59A9339M,2019-07-09 22:57:14,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,FALSE
"Robinson, Jared",54Z2936T,2019-07-16 05:41:56,FALSE,Midwife outside the UK,Yes,Deceased,Nurse,Written reflective accounts,TRUE,FALSE
"Untalan, Sae",39N3197D,2019-06-11 09:37:08,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Practice-related feedback,FALSE,FALSE
"Roberts, Adrena",48K9904W,2019-08-19 23:08:11,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Health and character declaration,FALSE,TRUE
"John, Taylor",39B0345X,2019-04-28 09:23:43,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,TRUE
"Bethel, James",84D1458X,2019-07-19 10:28:48,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Cochran, Michael",27I6465O,2019-02-24 10:06:32,FALSE,Nurse inside the UK,Yes,Deceased,Midwife,Practice-related feedback,FALSE,FALSE
"Zarate, Shakira",80R0251K,2019-03-18 00:30:17,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,FALSE
"el-Ayub, Awda",60X7939Q,2019-09-04 18:00:46,FALSE,Nurse inside the UK,Yes,Deceased,Nurse,Practice-related feedback,FALSE,TRUE
"el-Ghattas, Aayaat",59J4249P,2019-02-07 01:17:36,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,TRUE,TRUE
"Vigo, Quinn",92Q6014V,2019-08-21 19:31:21,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Practice-related feedback,FALSE,FALSE
"Juniel, Tyrie",51R4942K,2019-07-30 18:03:15,FALSE,Nurse outside the UK,Yes,Ill health,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Donnellan, Kimberly",22J8628F,2019-02-24 05:01:54,FALSE,Midwife outside the UK,No,Retirement,Midwife,Written reflective accounts,TRUE,FALSE
"John, Wanbli",99C8529A,2019-08-29 01:23:52,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,TRUE
"Maley, David",25Z6058I,2019-10-09 13:40:01,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,TRUE
"Brown, Nhan",04O5300U,2019-02-08 16:31:21,TRUE,Midwife outside the UK,Partial lapse,Deceased,Nurse,Practice-related feedback,TRUE,FALSE
"Ackelson, Dallas",12K7731Q,2019-04-02 19:44:21,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,FALSE
"Dotson, Avori",96V2343P,2019-04-02 07:15:59,TRUE,Nurse outside the UK,No,Ill health,Nurse,CPD,FALSE,FALSE
"Wingfield, Matthew",81Q7603C,2019-10-14 21:01:54,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Practice hours,TRUE,FALSE
"Thompson Williams, Zeguy",33F9020H,2019-05-31 06:55:45,TRUE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,CPD,FALSE,TRUE
"Hamlin, Caitlyn",39Z7830V,2019-10-31 20:21:05,FALSE,Nurse outside the UK,Yes,Retirement,Midwife,Health and character declaration,FALSE,FALSE
"Chen, Sarah",81D4499P,2019-03-30 06:35:24,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Written reflective accounts,TRUE,TRUE
"Ortiz, Jorim",35H6562H,2019-07-13 14:20:59,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Practice hours,TRUE,FALSE
"Kruk, Garrick",94N2362K,2019-11-05 11:03:37,TRUE,Midwife outside the UK,Partial lapse,Ill health,Midwife,Practice-related feedback,TRUE,FALSE
"el-Obeid, Azmi",45I9238P,2019-04-25 19:12:26,FALSE,Nurse inside the UK,No,Deceased,Midwife,CPD,FALSE,FALSE
"Beenken, Havannah",74K9646H,2019-02-18 08:22:42,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,FALSE
"Abraha, Fadil",31P3297H,2019-08-11 13:07:51,TRUE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Oakley, Makisha",49X5941H,2019-11-26 03:17:16,FALSE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,CPD,FALSE,TRUE
"al-Azam, Muna",68C7701Q,2019-10-22 04:46:13,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,FALSE
"Bustos Ovalle, Edgar",76Y2674L,2019-10-20 23:52:04,TRUE,Nurse outside the UK,No,Retirement,Nurse,CPD,FALSE,FALSE
"Vo, Allison",64K2229R,2019-02-17 19:51:38,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Midwife,Practice-related feedback,TRUE,TRUE
"Barksdale, John",26Y2797L,2019-09-16 21:42:42,TRUE,Nurse inside the UK,Yes,Ill health,Nurse,Practice hours,FALSE,FALSE
"al-Salam, Mubeena",45T9935Y,2019-09-10 21:54:30,TRUE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,FALSE
"Romero, Christopher",14D6049C,2019-09-10 19:02:44,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Midwife,CPD,FALSE,TRUE
"Orchard, Sarah",38T4170A,2019-11-05 11:03:37,TRUE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Practice hours,FALSE,FALSE
"Asad, Nicole",32E5034J,2019-09-25 12:05:52,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,CPD,TRUE,TRUE
"Gage, Amy",09C8328F,2019-03-05 05:15:58,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Cullip, Jonathan",59R2392E,2019-06-28 06:04:00,TRUE,Nurse inside the UK,Partial lapse,Ill health,Midwife,Health and character declaration,TRUE,FALSE
"Hoang, Kevin",12B9879C,2019-05-04 05:04:47,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Written reflective accounts,FALSE,FALSE
"Soto Corona, Michael",22H0869G,2019-11-05 01:19:12,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,TRUE
"Ellington, Riley",16U2106H,2019-02-11 20:50:12,FALSE,Nurse outside the UK,Yes,Ill health,Midwife,Confirmation,FALSE,TRUE
"al-Ghanem, Nawaal",19X2643C,2019-04-01 12:51:42,FALSE,Midwife outside the UK,Yes,Ill health,Midwife,Confirmation,FALSE,TRUE
"Garcia, Araceli",02P7713D,2019-09-10 21:25:28,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,Health and character declaration,TRUE,TRUE
"Vanderpool, Lindsey",46A8366C,2019-07-03 00:18:13,FALSE,Nurse outside the UK,Partial lapse,Deceased,Midwife,CPD,FALSE,TRUE
"Richards, Krisanna",32U8550Q,2019-04-02 16:29:58,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Reflective discussion,TRUE,FALSE
"Woten, Morganne",02P2104X,2019-03-24 12:26:13,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Written reflective accounts,FALSE,TRUE
"el-Shams, Mufeeda",48R0413S,2019-08-06 10:05:30,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Practice hours,TRUE,TRUE
"Pena, Dominick",33Q5757I,2019-08-11 06:33:53,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Huenink, Kayla",37W2453G,2019-07-18 23:33:31,TRUE,Nurse outside the UK,Yes,Retirement,Nurse,Health and character declaration,TRUE,FALSE
"Boyd, Marthalee",57F4375M,2019-11-14 10:22:09,TRUE,Nurse outside the UK,Yes,Retirement,Nurse,Written reflective accounts,FALSE,TRUE
"al-Ismail, Taaha",12Y3346N,2019-07-27 13:57:23,TRUE,Nurse inside the UK,No,Retirement,Nurse,Reflective discussion,TRUE,FALSE
"al-Dada, Saood",74N2001L,2019-06-06 10:27:47,FALSE,Nurse outside the UK,Partial lapse,Ill health,Midwife,Practice hours,TRUE,FALSE
"el-Akbar, Haashim",21A1142O,2019-07-27 17:21:35,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Confirmation,FALSE,FALSE
"Duran, Jeffrey",90Q0804V,2019-05-02 08:01:56,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Confirmation,FALSE,FALSE
"Mengist, Kebrina",78A4622K,2019-12-05 06:48:03,TRUE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"el-Haq, Saafiyya",72R2884Z,2019-05-06 02:51:55,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Reflective discussion,TRUE,TRUE
"Salinas, Rafael",57F8299J,2019-01-30 16:55:14,FALSE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Written reflective accounts,FALSE,FALSE
"al-Dawood, Thaamira",43N5468E,2019-02-21 21:34:36,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice-related feedback,TRUE,TRUE
"Barabe, Joshua",69D9272U,2019-11-17 10:24:27,TRUE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Written reflective accounts,TRUE,TRUE
"Earnest, Braedon",08W2291M,2019-05-25 22:30:07,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Reflective discussion,FALSE,TRUE
"Perez, Cinthia",03N9557S,2019-11-17 03:26:42,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,CPD,FALSE,TRUE
"Terrazas Vazquez, Jaime",56Q4591E,2019-11-17 02:12:38,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Midwife,Written reflective accounts,FALSE,TRUE
"Bigback, Tyler",82F1522K,2019-09-22 12:46:20,FALSE,Nurse inside the UK,Yes,Ill health,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Dowse, Alexia",56R2012X,2019-04-04 20:57:53,TRUE,Nurse inside the UK,No,Deceased,Midwife,Reflective discussion,TRUE,TRUE
"Austin, Mercedez",39N2937P,2019-01-27 19:48:13,FALSE,Midwife outside the UK,Partial lapse,Ill health,Nurse,CPD,TRUE,TRUE
"Craig, Bret",78Y5007D,2019-02-25 13:33:48,TRUE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,CPD,FALSE,FALSE
"Maley, David",64D8743V,2019-06-23 00:48:35,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,CPD,TRUE,FALSE
"Medina, Nicholas",13T3629C,2019-05-07 16:50:09,FALSE,Nurse outside the UK,Partial lapse,Ill health,Midwife,Confirmation,TRUE,TRUE
"Haring, Chandra",16W0687O,2019-06-19 20:38:21,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,TRUE
"Lucero, Tristany",53M0118B,2019-11-08 08:28:57,TRUE,Midwife outside the UK,No,Deceased,Midwife,Reflective discussion,FALSE,TRUE
"Chaussee, James",03L4266D,2019-05-18 17:38:07,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,CPD,TRUE,TRUE
"Villanueva, Thang",59B6864X,2019-11-01 14:06:58,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,TRUE
"Fuentes, Katelin",07B9681Q,2019-03-03 18:06:15,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,TRUE
"Lipscomb, Austin",10C4070S,2019-12-08 15:11:45,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"el-Aman, Nooriyya",92E4233H,2019-04-08 11:29:03,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,TRUE
"Sapp, Connor",46Z8939C,2019-10-15 16:27:30,TRUE,Nurse outside the UK,Yes,Deceased,Midwife,Health and character declaration,TRUE,TRUE
"el-Nasrallah, Zakiyya",51J6099K,2019-10-08 02:27:52,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,TRUE
"el-Shaban, Kameela",80J4592Y,2019-08-13 02:50:55,FALSE,Nurse inside the UK,Partial lapse,Ill health,Nurse,CPD,TRUE,TRUE
"Turner-Brown, Cierra",70U9506Z,2019-07-05 02:51:09,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Confirmation,TRUE,TRUE
"Arens, Alysia",91D0415I,2019-08-16 17:08:29,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,CPD,FALSE,TRUE
"Enriquez, Alice",05L1472N,2019-06-11 20:54:05,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Written reflective accounts,TRUE,FALSE
"King, Kiana",03B4170V,2019-03-31 21:49:29,TRUE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"Lopez-Guzman, Savanah",26V6717L,2019-11-10 17:49:08,FALSE,Nurse inside the UK,No,Ill health,Midwife,CPD,TRUE,FALSE
"al-El-Sayed, Haaniya",33M7892H,2019-05-28 10:57:22,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Health and character declaration,TRUE,FALSE
"Ndiaye, Robert",91G0159H,2019-12-23 21:43:02,TRUE,Midwife outside the UK,No,Ill health,Midwife,Written reflective accounts,FALSE,TRUE
"Porras, David",44L7348L,2019-02-02 15:31:19,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Reflective discussion,TRUE,FALSE
"Mclaughlin, Shawnna",87B6431T,2019-06-05 00:28:40,FALSE,Nurse outside the UK,Yes,Deceased,Midwife,CPD,TRUE,TRUE
"Miller, Mareno",68N6977M,2019-04-10 18:49:49,TRUE,Midwife outside the UK,No,Ill health,Nurse,CPD,FALSE,FALSE
"Duvall-Valverde, Jose",56R8747Y,2019-08-27 07:40:59,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Snow, Andrew",13S0213M,2019-03-26 16:29:41,FALSE,Nurse inside the UK,No,Deceased,Nurse,Health and character declaration,FALSE,TRUE
"Day, Drew",85Q5413R,2019-07-14 10:31:09,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,Health and character declaration,TRUE,FALSE
"Wheeler, Kayla",49A5556L,2019-03-14 23:41:28,FALSE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Reflective discussion,FALSE,TRUE
"Sadler, Payton",46M8490X,2019-02-12 16:27:49,TRUE,Midwife outside the UK,Partial lapse,Ill health,Midwife,Confirmation,TRUE,TRUE
"Jones, Charles",53W2973E,2019-02-27 22:38:57,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,Health and character declaration,FALSE,TRUE
"Blackwater, Alexandria",00R3221D,2019-05-19 01:28:41,FALSE,Midwife outside the UK,Yes,Deceased,Midwife,Practice-related feedback,FALSE,FALSE
"Palomera Partida, Adrian",62I9936X,2019-06-09 22:26:19,TRUE,Nurse inside the UK,No,Deceased,Midwife,CPD,FALSE,TRUE
"Lam, Payton",04C9782E,2019-06-28 11:38:38,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"al-Samad, Aneesa",87R7332A,2019-01-28 10:40:07,FALSE,Midwife outside the UK,Yes,Deceased,Midwife,Confirmation,FALSE,FALSE
"Johnston, Erin",09A9547V,2019-06-19 11:27:31,FALSE,Midwife outside the UK,Partial lapse,Ill health,Midwife,Reflective discussion,FALSE,FALSE
"el-Karimi, Aamina",52R1800Y,2019-04-06 06:51:05,TRUE,Nurse inside the UK,Yes,Deceased,Midwife,Written reflective accounts,TRUE,TRUE
"Moon, Pragna",53O6709Z,2019-04-20 09:35:46,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,TRUE,FALSE
"Roberts, Tiana",24M2574K,2019-11-21 14:54:43,FALSE,Midwife outside the UK,No,Ill health,Nurse,Practice hours,FALSE,TRUE
"Polk, Richard",62S2649P,2019-03-16 03:21:13,FALSE,Nurse inside the UK,No,Ill health,Nurse,Written reflective accounts,FALSE,FALSE
"Myers, Sou",72P9318W,2019-01-29 02:28:26,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Midwife,Health and character declaration,TRUE,TRUE
"Hodgkins, Apryl",96E9100N,2019-02-17 09:05:23,FALSE,Midwife outside the UK,No,Ill health,Midwife,Health and character declaration,FALSE,FALSE
"Toothaker, Amber",41P2176O,2019-08-25 02:10:10,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Douglas, Edward",39Q8790M,2019-07-24 00:34:48,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Practice-related feedback,TRUE,TRUE
"Cordova, Maya",08N7617S,2019-08-22 14:15:21,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Midwife,Reflective discussion,FALSE,TRUE
"Coutee, Shelbey",56B3114Y,2019-12-16 19:55:40,TRUE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Practice-related feedback,TRUE,TRUE
"Kelly, Nicole",76E7341K,2019-03-27 13:21:29,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,FALSE
"el-Shaikh, Sireen",43G2226H,2019-07-24 00:00:25,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,CPD,TRUE,TRUE
"al-Hosseini, Thanaa",81S3948I,2019-09-25 00:28:46,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Practice-related feedback,TRUE,FALSE
"Richards, K'Lyn",10S5972Y,2019-02-21 13:34:15,TRUE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Confirmation,TRUE,FALSE
