name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"Trujillo, Anthony",09Q3722G,2019-12-17 11:11:20,Employer,Reason1,allegationtype2,Information from employer
"Hasan, Eun",28T0423Y,2019-06-12 05:34:01,Employer,Reason2,allegationtype2,
"al-Azer, Taqi",89E7608P,2019-06-27 07:06:10,Member fo the public,Reason2,allegationtype2,Information from employer
"el-Obeid, Zubair",47N2813A,2019-05-14 04:42:57,Employer,Reason2,allegationtype1,
"al-Rasheed, Mukhtaar",11Q8556L,2019-08-18 06:17:53,Employer,Reason2,allegationtype2,
"Wilson, Trinity",43E6114D,2019-03-28 08:59:05,Employer,Reason2,allegationtype2,Information from employer
"Bustos Ovalle, Edgar",11K6488T,2019-06-06 05:05:37,Member fo the public,Reason2,allegationtype2,Information from employer
"Butcher, Shirelle",15B7069Z,2019-07-06 18:16:00,Employer,Reason1,allegationtype2,Information from employer
"Vennen, Isabella",79M4259X,2019-12-07 03:50:08,Employer,Reason2,allegationtype2,
"Blackmore, Naomi",75B4514U,2019-03-09 09:27:15,Member fo the public,Reason1,allegationtype1,
"Heidrich, Brianna",13Y2126X,2019-07-11 22:38:21,Member fo the public,Reason1,allegationtype2,
"Jones, Jennifer",05U7152Q,2019-01-16 13:01:45,Employer,Reason2,allegationtype2,
"Quintana, Iesha",86P5888T,2019-08-22 07:29:31,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Harron, Aseela",87X7785A,2019-12-01 15:39:26,Member fo the public,Reason1,allegationtype1,Information from employer
"Mendiola Olague, Guadalupe",72C3636C,2019-03-29 02:10:49,Member fo the public,Reason1,allegationtype1,Information from employer
"Park, Timothy",51D6700Y,2019-02-05 12:00:15,Employer,Reason1,allegationtype2,Information from employer
"Hasbrouck, Shinji",92P6150P,2019-11-14 16:02:20,Employer,Reason1,allegationtype2,
"Webb, Elijah",70D0218L,2019-11-28 00:05:52,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Ismael, Fawqiyya",06R9592G,2019-06-14 05:43:27,Employer,Reason2,allegationtype1,
"Cochran, Michael",30W3086T,2019-10-27 14:14:11,Employer,Reason2,allegationtype1,Information from employer
"Briese, Kaila",79B0891M,2019-05-26 23:45:07,Member fo the public,Reason1,allegationtype2,Information from employer
"Reger, April",86F3205B,2019-01-06 18:37:23,Employer,Reason2,allegationtype1,Information from employer
"Bethel, James",26Q6719A,2019-11-26 16:26:37,Employer,Reason2,allegationtype1,
"Beltran-Chairez, Guadalupe",45W8477G,2019-07-07 16:19:54,Member fo the public,Reason2,allegationtype2,
"Saenz, Orquidea",13I1244Y,2019-04-23 00:31:41,Employer,Reason2,allegationtype1,
"al-Fares, Ameer",16E4679O,2019-08-05 11:02:55,Employer,Reason2,allegationtype1,Information from employer
"Patel, Kaelin",85K8265A,2019-04-04 22:40:43,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Hai, Zuhriyaa",48B3601K,2019-06-06 12:07:45,Employer,Reason1,allegationtype1,Information from employer
"Pope, Beatrice",07O7424V,2019-07-10 16:06:48,Employer,Reason1,allegationtype2,
"Alex, Harrison",79A9773V,2019-11-25 11:35:30,Employer,Reason1,allegationtype1,
"Williams, Gregory",61I2359D,2019-12-03 02:32:12,Member fo the public,Reason2,allegationtype1,Information from employer
"el-Kaiser, Husaam",56C3857Q,2019-04-04 18:10:17,Employer,Reason2,allegationtype1,
"Draper, Chelsea",09R3939Z,2019-12-20 11:54:50,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Harron, Waheeba",81W1413A,2019-04-29 19:35:30,Member fo the public,Reason2,allegationtype2,
"Griffin Zavala, Fransico",93J5683O,2019-09-22 03:07:47,Employer,Reason2,allegationtype1,
"Nguyen, Jomar",73R5393Z,2019-03-05 04:48:28,Employer,Reason1,allegationtype2,Information from employer
"Smith, Allyssa",09C8328F,2019-04-20 15:01:27,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Othman, Adhraaa",29Q6520W,2019-01-10 23:30:10,Member fo the public,Reason1,allegationtype1,
"Vandenberghe, Jared",68J5159M,2019-01-11 23:07:37,Member fo the public,Reason1,allegationtype1,Information from employer
"Rust, Cora",13S0213M,2019-12-22 19:06:49,Employer,Reason2,allegationtype2,
"Lamb, Renee",52R0249D,2019-02-27 03:19:08,Employer,Reason2,allegationtype2,
"al-Yamin, Saajid",57J6739D,2019-09-18 13:19:34,Employer,Reason2,allegationtype1,Information from employer
"Nixon, Daryahn",52H3729W,2019-09-28 05:23:08,Employer,Reason2,allegationtype2,Information from employer
"Irwin, Shaundra",98D5220E,2019-03-02 00:38:06,Member fo the public,Reason2,allegationtype1,Information from employer
"Arens, Alysia",60N2576R,2019-01-07 04:00:48,Employer,Reason1,allegationtype1,
"Jones, Laken",89B8056J,2019-11-24 20:54:45,Member fo the public,Reason1,allegationtype1,Information from employer
"Chavez, Alexander",67X4410M,2019-10-29 21:26:03,Member fo the public,Reason2,allegationtype2,
"Kaibetoney, Cody",41A6608G,2019-08-31 23:37:17,Employer,Reason1,allegationtype1,Information from employer
"al-Hoda, Majdi",41W8967K,2019-05-28 05:08:52,Employer,Reason1,allegationtype1,
"Bester, Khadijah",55L4103J,2019-12-18 04:10:11,Employer,Reason2,allegationtype2,Information from employer
"Silby, Nia",05E9709A,2019-09-10 17:58:13,Employer,Reason1,allegationtype2,Information from employer
"Mckinzie, Alexis",55W2963X,2019-03-26 08:37:25,Member fo the public,Reason2,allegationtype2,Information from employer
"Hansen, Robyn",39E6047B,2019-09-05 07:20:23,Member fo the public,Reason1,allegationtype1,Information from employer
"Carlo, Konda",69N1077J,2019-09-24 11:27:42,Member fo the public,Reason1,allegationtype2,Information from employer
"Hardy, Allison",13B4949N,2019-03-13 03:42:49,Member fo the public,Reason2,allegationtype2,Information from employer
"Houlihan, Kathryn",76S3200E,2019-07-01 07:16:15,Employer,Reason1,allegationtype2,
"Mondrey, Cedric",18B5113N,2019-08-17 12:13:35,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Muhammad, Hishaam",49T9842Q,2019-01-07 04:00:48,Employer,Reason2,allegationtype2,
"Underwood, Alexis",52F1478Q,2019-03-12 08:55:36,Member fo the public,Reason2,allegationtype1,Information from employer
"Garcia, Kayla",58I4624Y,2019-03-29 10:39:12,Member fo the public,Reason2,allegationtype1,
"Sidell, Christopher",44V2921W,2019-11-17 03:26:42,Employer,Reason1,allegationtype1,
"al-Othman, Adhraaa",83N2158O,2019-08-17 17:46:19,Employer,Reason1,allegationtype2,Information from employer
"Stoltenberg, Chandler",92P7739K,2019-08-01 06:52:09,Member fo the public,Reason2,allegationtype2,
"Fehr, Madison",66A0481H,2019-10-22 05:45:35,Member fo the public,Reason1,allegationtype1,
"Kelly, Nicole",38F5398Y,2019-01-26 03:13:36,Employer,Reason1,allegationtype1,Information from employer
"Mccutchan, Kooper",63P6958X,2019-06-01 02:18:15,Employer,Reason2,allegationtype1,
"Mcclaskey, Blake",22D6889I,2019-06-23 17:50:42,Employer,Reason1,allegationtype1,Information from employer
"Lee, Vincent",20J8200G,2019-09-03 22:48:21,Member fo the public,Reason1,allegationtype1,
"Hamilton, Michele",49L6121V,2019-03-04 08:57:04,Employer,Reason2,allegationtype1,Information from employer
"Trujillo, Vanessa",30T3358H,2019-03-20 02:49:57,Member fo the public,Reason1,allegationtype2,
"al-Sadek, Haaroon",92A6492Y,2019-07-29 08:47:02,Member fo the public,Reason1,allegationtype1,Information from employer
"Boone, Mara",25J9735K,2019-11-28 18:51:09,Employer,Reason2,allegationtype2,
"el-Akbar, Ghaaliba",18T7324U,2019-12-21 07:32:24,Employer,Reason2,allegationtype1,
"Webb, Mohamed",69J0890G,2019-07-06 03:17:18,Member fo the public,Reason2,allegationtype1,Information from employer
"Urban, Alexander",13V2712B,2019-01-05 23:24:09,Employer,Reason1,allegationtype1,Information from employer
"New, Leroy",84X2612J,2019-02-01 07:06:22,Member fo the public,Reason1,allegationtype2,
"el-Ibrahim, Azhaar",14Z9232H,2019-08-16 04:22:22,Member fo the public,Reason2,allegationtype2,Information from employer
"Adams, Brandyn",41X9228O,2019-08-12 15:58:30,Member fo the public,Reason1,allegationtype2,
"Eisenbarth, Xiao Yun",55D7337I,2019-04-07 11:59:11,Member fo the public,Reason2,allegationtype1,
"el-Ibrahim, Tareef",33P5156R,2019-11-18 10:03:30,Employer,Reason2,allegationtype1,Information from employer
"Maldonado, Kayla",48B3601K,2019-05-24 22:56:03,Member fo the public,Reason2,allegationtype1,Information from employer
"Whiteplume, Delphine",70S0387E,2019-08-12 06:13:04,Member fo the public,Reason2,allegationtype2,
"Feldmann, Rebecca",42O6906M,2019-10-23 00:03:10,Member fo the public,Reason2,allegationtype2,
"Ontiveros, Maria",21L7044V,2019-09-18 01:44:43,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Amen, Shaheed",08K9938H,2019-07-20 17:17:02,Employer,Reason2,allegationtype2,
"Beckner, Keiley",27N4719C,2019-08-20 18:04:19,Member fo the public,Reason1,allegationtype1,
"San Pedro, Donalyn",31K8141E,2019-03-27 13:21:29,Employer,Reason2,allegationtype1,
"Inhulsen, Linzabeth",29A6968S,2019-05-31 06:55:45,Employer,Reason2,allegationtype1,
"Park, Yane",39W4978A,2019-10-20 03:01:53,Member fo the public,Reason2,allegationtype2,Information from employer
"Cave, Stacy",38D1388L,2019-08-31 21:13:16,Employer,Reason2,allegationtype2,
"Capitelli, Alexis",59I3233B,2019-01-21 16:28:38,Employer,Reason2,allegationtype2,Information from employer
"Baldwin, Shelby",56Y1100T,2019-09-18 16:44:13,Member fo the public,Reason2,allegationtype1,Information from employer
"Fowler, Steven",98V5813Q,2019-01-23 07:15:59,Member fo the public,Reason2,allegationtype2,Information from employer
"Verde, Joshua",38G9371D,2019-06-23 13:59:24,Member fo the public,Reason2,allegationtype1,Information from employer
"Tyler, Courtland",20P9334Y,2019-06-29 18:15:28,Employer,Reason1,allegationtype2,
"al-Soltani, Zubaida",42S1375X,2019-01-04 15:53:45,Member fo the public,Reason2,allegationtype2,
"Williams, Raeanna",37Z0171R,2019-06-02 15:25:34,Member fo the public,Reason2,allegationtype2,
"Baseggio, Abigail",55B4633L,2019-05-06 11:47:05,Employer,Reason2,allegationtype1,
"Holiday, Katherine",55D5587I,2019-12-26 03:35:15,Employer,Reason2,allegationtype2,
"Costigan, Elisa",91Y2740K,2019-02-10 02:23:49,Employer,Reason2,allegationtype1,Information from employer
"el-Asmar, Sameeha",44F6936D,2019-07-11 08:17:51,Member fo the public,Reason2,allegationtype1,Information from employer
"Paulsen, Linda",29H6232B,2019-06-15 07:06:03,Member fo the public,Reason2,allegationtype1,
"Batra, Kyle",50L7823T,2019-04-17 00:50:47,Employer,Reason2,allegationtype1,
"Deherrera, Jessica",48O0922C,2019-12-12 02:52:58,Employer,Reason1,allegationtype2,
"el-Ibrahim, Tareef",89B2468Q,2019-04-27 18:27:06,Member fo the public,Reason2,allegationtype1,Information from employer
"Cruz, Raul",51K5278M,2019-01-27 03:56:22,Employer,Reason2,allegationtype2,Information from employer
"Dizayee, Tara",31G4105D,2019-07-19 15:29:31,Employer,Reason2,allegationtype1,
"Cortez, Anastasia",53Y4656I,2019-03-20 08:01:16,Member fo the public,Reason2,allegationtype1,Information from employer
"el-Kassem, Mu'mina",22X9875W,2019-06-21 18:26:12,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Mustafa, Abdul Maalik",13E3346F,2019-09-19 07:30:37,Employer,Reason1,allegationtype2,
"Rinder, Stephanie",61X6986W,2019-11-20 15:04:49,Member fo the public,Reason2,allegationtype1,
"Guzman-Mendoza, Alexander",33K3491C,2019-04-20 19:28:07,Employer,Reason1,allegationtype2,
"Khan, Yueh-Ya",85H1667I,2019-04-21 23:44:41,Employer,Reason2,allegationtype2,Information from employer
"Shea, Milena",78G5651K,2019-08-17 02:59:12,Member fo the public,Reason2,allegationtype2,Information from employer
"Petty, Clay",93R7972R,2019-09-08 08:19:18,Employer,Reason2,allegationtype2,Information from employer
"Williams, Jayson",56Q9331Q,2019-12-27 09:27:58,Member fo the public,Reason2,allegationtype1,
"al-Kamel, Taahir",33D0650N,2019-01-26 05:20:46,Employer,Reason1,allegationtype1,Information from employer
"Mummert, Joshua",07B0341X,2019-05-27 22:26:47,Member fo the public,Reason2,allegationtype1,
"Trojahn, Junbian",28Y2976O,2019-10-13 05:40:19,Employer,Reason2,allegationtype1,
"Boone, Alexander",84F5396Z,2019-01-14 20:49:40,Employer,Reason1,allegationtype2,
"Zheng, Jaydan",14V7969X,2019-02-05 09:37:07,Member fo the public,Reason1,allegationtype2,
"Lockett, Quashaya",51G2933P,2019-01-15 09:54:51,Employer,Reason2,allegationtype2,Information from employer
"Hassanzadeh Oghan, Connor",33B5745L,2019-01-26 03:13:36,Member fo the public,Reason1,allegationtype2,Information from employer
"Wright, David",98B8042R,2019-07-24 08:32:27,Member fo the public,Reason2,allegationtype2,
"Sherengo, Dominick",75U5938S,2019-02-23 13:54:06,Employer,Reason2,allegationtype1,Information from employer
"Lemmons, Sheridan",74E2614B,2019-07-22 00:09:42,Member fo the public,Reason1,allegationtype1,
"Culpepper, Shelby",33I0707D,2019-07-28 19:05:25,Member fo the public,Reason1,allegationtype1,
"Kirven, Anthony",82F1522K,2019-11-26 04:50:38,Employer,Reason2,allegationtype1,
"Banks, Jamariah",95D5347J,2019-06-27 05:59:31,Employer,Reason2,allegationtype1,
"Lee, Nhu",26U1210I,2019-06-11 23:53:28,Employer,Reason2,allegationtype2,Information from employer
"Romero, Shay",49L6121V,2019-08-24 06:26:42,Member fo the public,Reason2,allegationtype2,
"el-Jafari, Ramalaan",23Q9517W,2019-03-04 06:30:45,Member fo the public,Reason2,allegationtype2,Information from employer
"Robb, Jessica",24K0810D,2019-06-04 11:46:19,Employer,Reason2,allegationtype1,
"Lask, Jacob",53B4488A,2019-01-18 07:07:39,Member fo the public,Reason2,allegationtype1,Information from employer
"Greenlee, Ariahna",41F4225O,2019-11-05 14:08:33,Member fo the public,Reason2,allegationtype1,
"el-Jama, Hazeela",22P2098A,2019-12-26 21:14:19,Employer,Reason1,allegationtype1,
"Swanson, Thomas",63G1104S,2019-03-27 18:18:01,Employer,Reason2,allegationtype1,Information from employer
"Sandoval, Salvador",32K1329N,2019-09-10 11:31:57,Member fo the public,Reason2,allegationtype2,
"Byrd, Rubi",99D0201S,2019-09-23 08:51:11,Employer,Reason1,allegationtype1,Information from employer
"Tieman, Brian",26W2814Z,2019-05-28 23:46:47,Employer,Reason1,allegationtype2,Information from employer
"Martinez, Lahana",81E6410Q,2019-06-18 18:12:23,Member fo the public,Reason2,allegationtype1,
"al-Ansari, Baheej",33H8045H,2019-10-03 23:18:20,Member fo the public,Reason2,allegationtype2,
"al-Shariff, Musheer",17V0769B,2019-04-19 20:42:58,Member fo the public,Reason2,allegationtype2,Information from employer
"Robinson, Deaidreiss",68B9441P,2019-01-02 10:15:36,Member fo the public,Reason1,allegationtype1,Information from employer
"Barrera, Michael",69B6238N,2019-02-01 15:10:48,Employer,Reason2,allegationtype2,Information from employer
"Kaneta Jr, Fernando",20Z1601O,2019-07-24 00:34:48,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Hamed, Rushdi",01Q1179W,2019-12-08 16:19:45,Member fo the public,Reason2,allegationtype2,Information from employer
"Chavez, David",34L9364Q,2019-10-04 02:16:42,Employer,Reason1,allegationtype1,
"Suto, Ritika",20N9147Y,2019-08-28 22:24:10,Member fo the public,Reason1,allegationtype1,Information from employer
"Webb, Daniel",03V8842B,2019-09-10 21:54:30,Employer,Reason2,allegationtype1,
"Dudash, Amber",20V5270M,2019-08-26 13:38:33,Member fo the public,Reason2,allegationtype2,Information from employer
"Esparza, Nathan",10F9104L,2019-01-21 21:32:47,Employer,Reason1,allegationtype1,
"Monnet, Alleah",93O4733M,2019-12-03 02:32:12,Member fo the public,Reason1,allegationtype2,Information from employer
"Swift, Kelly",20C7117I,2019-06-26 07:47:56,Member fo the public,Reason2,allegationtype1,Information from employer
"Wolberg, Samantha",73S9523S,2019-07-19 11:45:29,Member fo the public,Reason2,allegationtype1,
"Yeung, Jin",16Q4526D,2019-06-28 22:01:28,Member fo the public,Reason1,allegationtype1,
"Yamashita, Byung",47A7826Y,2019-12-29 05:55:14,Member fo the public,Reason2,allegationtype1,
"Eagle, Lanae",60I1595P,2019-08-24 01:53:39,Member fo the public,Reason1,allegationtype2,
"Morey, Atlanta",04O1680P,2019-06-27 07:51:14,Member fo the public,Reason1,allegationtype2,Information from employer
"Cooper, Daniel",80B7216T,2019-04-18 01:18:52,Employer,Reason1,allegationtype2,Information from employer
"al-Sadek, Haaroon",96C6941H,2019-02-03 15:28:59,Member fo the public,Reason1,allegationtype1,Information from employer
"Miller, Isaiah",00N5711A,2019-05-20 15:40:27,Member fo the public,Reason1,allegationtype1,
"Romero, Louriah",81J9552Y,2019-11-07 06:30:02,Employer,Reason2,allegationtype2,
"Murphy, Mitchell",34M0047Z,2019-06-22 05:22:14,Employer,Reason1,allegationtype2,
"Mcgary, Josiah",02T8216D,2019-05-07 07:30:45,Employer,Reason1,allegationtype1,
"Fu, Aram",24K0810D,2019-03-03 11:33:21,Member fo the public,Reason1,allegationtype2,Information from employer
"Pence, Edward",19L1028U,2019-08-09 01:02:50,Employer,Reason1,allegationtype2,
"Washington, Ryan",72S9041X,2019-02-05 21:30:01,Employer,Reason2,allegationtype2,
"Greenlees, Karina",89N1945N,2019-02-26 12:04:27,Employer,Reason2,allegationtype2,
"Aldaco, Matthew",47I2761M,2019-02-20 20:27:34,Member fo the public,Reason2,allegationtype2,Information from employer
"Glover III, Tachelle",80J0603K,2019-09-08 05:49:06,Member fo the public,Reason2,allegationtype1,
"Watts, Gabriel",64G5779P,2019-08-29 19:41:32,Member fo the public,Reason2,allegationtype2,Information from employer
"el-Mousa, Wisaam",94C0413L,2019-09-07 18:52:11,Employer,Reason2,allegationtype2,
"Bobian-Casey, Paul",88A0869S,2019-11-27 18:19:58,Employer,Reason2,allegationtype2,Information from employer
"al-Abid, Fawqiyya",06Q4153V,2019-07-16 06:54:28,Member fo the public,Reason2,allegationtype1,Information from employer
"el-Shahid, Mahdeeya",01X4961R,2019-12-14 09:05:18,Employer,Reason1,allegationtype1,
"Dunn, Srinivasa",92T2275U,2019-02-03 12:33:06,Member fo the public,Reason2,allegationtype1,
"Benavides, Kyrie",86H3983R,2019-04-01 23:09:50,Member fo the public,Reason1,allegationtype1,Information from employer
"Finley, James",08V8724A,2019-04-28 16:36:56,Employer,Reason2,allegationtype1,
"Martinez, Dyani",09U1646T,2019-02-19 19:30:16,Member fo the public,Reason1,allegationtype1,
"el-Mahmood, Saamiqa",93J1192O,2019-05-01 22:55:05,Employer,Reason2,allegationtype2,Information from employer
"Taft, Mark",82F6332R,2019-10-04 22:06:09,Employer,Reason2,allegationtype1,
"Stogdill, Christopher",46G4263Y,2019-03-17 00:18:55,Employer,Reason1,allegationtype1,Information from employer
